"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Q0020",2.49158659785106,0.404218297592257,0.715068612095865,0.565286030955119,0.571879228542805,0.701423990865183
"2","Q0045",0,NA,NA,NA,NA,NA
"3","Q0050",2.44961472458153,0.166612212012806,0.795368245513017,0.209478078805297,0.834075046354903,0.899075279676419
"4","Q0055",0.521970531571545,-0.850481815200669,1.81879840864598,-0.467606421447124,0.640066071957917,0.755733231802445
"5","Q0060",0,NA,NA,NA,NA,NA
"6","Q0065",0,NA,NA,NA,NA,NA
"7","Q0070",0,NA,NA,NA,NA,NA
"8","Q0075",0,NA,NA,NA,NA,NA
"9","Q0080",0,NA,NA,NA,NA,NA
"10","Q0085",1.52324768803672,-2.83991959655696,1.0652861235555,-2.6658749548698,0.00767882486808825,0.0250878574210104
"11","Q0105",0.187498586276144,1.04071590659464,2.59415374777023,0.401177419607133,0.68828950419542,0.791058419644047
"12","Q0110",0,NA,NA,NA,NA,NA
"13","Q0115",0,NA,NA,NA,NA,NA
"14","Q0120",0.0828016472800478,0.559815422163131,3.11653965008542,0.179627242075289,0.857445216451201,0.912823997949678
"15","Q0130",0,NA,NA,NA,NA,NA
"16","Q0140",0,NA,NA,NA,NA,NA
"17","Q0158",8.46143696645673,-0.669687120451566,0.532631871320906,-1.25731702609303,0.208638861124502,0.339252357603625
"18","Q0160",0.841745589009951,-0.498518214430619,1.13515731111211,-0.439162228486394,0.660543991675161,0.771487128920012
"19","Q0250",0.828219468160337,-0.583916120930703,1.53430579931677,-0.380573495316723,0.703519751535559,0.803441502357988
"20","Q0255",0,NA,NA,NA,NA,NA
"21","Q0275",0,NA,NA,NA,NA,NA
"22","Q0285",0,NA,NA,NA,NA,NA
"23","tA.UGC.Q",0,NA,NA,NA,NA,NA
"24","tC.GCA.Q",0,NA,NA,NA,NA,NA
"25","tD.GUC.Q",0,NA,NA,NA,NA,NA
"26","tE.UUC.Q",0,NA,NA,NA,NA,NA
"27","tF.GAA.Q",0,NA,NA,NA,NA,NA
"28","tG.UCC.Q",0,NA,NA,NA,NA,NA
"29","tH.GUG.Q",0,NA,NA,NA,NA,NA
"30","tI.GAU.Q",0,NA,NA,NA,NA,NA
"31","tK.UUU.Q",0,NA,NA,NA,NA,NA
"32","tL.UAA.Q",0,NA,NA,NA,NA,NA
"33","tM.CAU.Q1",0,NA,NA,NA,NA,NA
"34","tM.CAU.Q2",0,NA,NA,NA,NA,NA
"35","tN.GUU.Q",0,NA,NA,NA,NA,NA
"36","tP.UGG.Q",0,NA,NA,NA,NA,NA
"37","tQ.UUG.Q",0,NA,NA,NA,NA,NA
"38","tR.ACG.Q2",0,NA,NA,NA,NA,NA
"39","tR.UCU.Q1",0,NA,NA,NA,NA,NA
"40","tS.GCU.Q1",0,NA,NA,NA,NA,NA
"41","tS.UGA.Q2",0,NA,NA,NA,NA,NA
"42","tT.UAG.Q2",0,NA,NA,NA,NA,NA
"43","tT.UGU.Q1",0,NA,NA,NA,NA,NA
"44","tV.UAC.Q",0,NA,NA,NA,NA,NA
"45","tW.UCA.Q",0,NA,NA,NA,NA,NA
"46","tY.GUA.Q",0,NA,NA,NA,NA,NA
"47","YAL001C",1023.76417761912,-0.649482139036386,0.0448454956087203,-14.4826616412751,1.55939764339845e-47,1.47444538372077e-45
"48","YAL002W",623.360151341463,-0.122516409363291,0.0469695352858028,-2.60842285574674,0.0090960511943545,0.0288839520382134
"49","YAL003W",25807.1734563787,0.0162535148302964,0.0316692046215427,0.513227756255049,0.607792012328568,0.730295481958865
"50","YAL005C",14244.3623070234,-0.488466446838065,0.0321620732592361,-15.1876541944568,4.26926363530392e-52,4.43373526715579e-50
"51","YAL007C",2838.03827368977,0.100979115524916,0.0348585547988252,2.89682449853943,0.00376960569333454,0.0136569730574924
"52","YAL008W",800.699471277419,-0.0104251784312582,0.0411664896979928,-0.253244289414517,0.80007944366163,0.875389166769676
"53","YAL009W",780.051109816646,-0.0760544203363603,0.0410753145396211,-1.85158461204231,0.0640854943902513,0.139130303571734
"54","YAL010C",573.449360168194,0.0603622921500526,0.0493916562891901,1.22211516448505,0.221664079251633,0.354785735740045
"55","YAL011W",620.231270955856,-0.0768317860381427,0.048190027563988,-1.59435032354201,0.110857592194216,0.211037520548337
"56","YAL012W",6346.43087768001,-0.160076111719527,0.0542217359848106,-2.95224984615707,0.00315467563433631,0.0117282101781224
"57","YAL013W",1580.95626975939,-0.180412352541555,0.0686195748366034,-2.62916744924683,0.00855942025483355,0.0274969205448127
"58","YAL014C",1302.91954601957,-0.080900216118143,0.0356452563940934,-2.26959276779248,0.0232323028408193,0.0623629824138094
"59","YAL015C",547.459380026214,-0.0193465424349167,0.0439422266107383,-0.440272237597286,0.659739945671755,0.770974461507206
"60","YAL016W",3279.47700406611,0.00549424900798558,0.0231734452837256,0.23709245391509,0.812585066395616,0.884553354107009
"61","YAL017W",816.567553651341,-0.00185493955944806,0.0610506891980676,-0.0303835973649709,0.9757611262234,0.985470674024886
"62","YAL018C",7.39327275762656,-0.944968397740151,0.410741967442884,-2.30063755993367,0.0214121261474835,0.0584176654368253
"63","YAL019W",1851.9591483819,-0.0524113945332992,0.0353810775691848,-1.48133969155724,0.138516076678521,0.249857444692036
"64","YAL020C",1224.31928509477,-0.136087974601795,0.0687882713112463,-1.97836014785191,0.0478880921603413,0.110776672448539
"65","YAL021C",2428.9463275597,0.0190689133910447,0.0275091661254197,0.693183984716429,0.488194097401931,0.626590171662281
"66","YAL022C",1386.98837278133,0.044591402281633,0.029547046770207,1.50916613184488,0.131256332885307,0.239973699517582
"67","YAL023C",6504.3594772431,0.0621798307313851,0.0370822965947636,1.67680635886413,0.0935803538880757,0.185491721489662
